,WRP
205,0.10551948051948051
206,0.06073268993593278
207,-0.07934279450965481
208,0.03127471577543939
209,0.01172076210474804
210,-0.07767464582315581
211,0.024888279730264806
212,-0.05218375594305785
213,
214,0.009849046604509804
215,0.07090424780959614
216,-0.13475423658909902
217,-0.08240763089033787
218,0.05010737091558626
219,
220,-0.04390243902439023
221,
222,
223,
224,
225,0.009537476320962468
226,-0.0008008826836823912
227,-0.05642246575821175
228,
229,0.04211155535285793
230,-0.010552600390031919
231,
232,0.03716054446687428
233,0.06453369034151873
234,0.06722725308215372
235,0.01372220572794891
236,-0.015199294112936468
237,0.014062585462048971
238,-0.07035014031612608
239,
240,
241,-0.049567752957544564
242,0.05342740164906662
243,0.11316389278565858
244,0.02790719467209568
245,
246,
247,0.22711670480549198
248,0.05694215077048059
249,
250,
251,-0.020181101028724446
252,
253,0.016704542830950853
254,
255,0.07170619865262984
256,0.08856906830466493
257,
258,0.025090998044596857
259,-0.05255788734377309
260,-0.05197693610949683
261,0.16893905348869726
262,0.020232865620231855
263,-0.03351679488013115
264,0.08649383030346447
265,0.10789460302791021
266,-0.1190112928694807
267,0.002915837900289653
268,-0.008283151729196914
269,-0.022197711313429958
270,-0.04260863906475881
271,-0.022367021478981397
272,0.09458637961893857
273,
274,0.08783783783783783
275,0.04333798355312035
276,
277,
278,-0.017464898708237087
279,-0.04920717547932263
280,0.03448393437296504
281,0.02772806222643215
282,-0.03920105885266906
283,0.03883090633658326
284,0.014761235955056184
285,0.09126089830126266
286,0.07812361583303407
287,-0.10663840429700772
288,0.06269309219126518
289,-0.00793050150867708
290,0.05604905086595663
291,-0.023147109050485448
292,0.02402981538557969
293,0.010526301748533917
294,
295,0.13584574934268184
296,-0.06243313759018121
297,-0.019678922345096883
298,0.09673158074159188
299,-0.013838835736316057
300,0.09649122807017546
301,
302,-0.036405731050424994
303,
304,0.020093167701863368
305,0.017727888362430333
306,
307,0.03136691013594045
308,0.04507787710263572
309,0.2124868001517342
310,
311,0.025673540978963072
312,-0.004575181716025167
313,0.07389034360122743
314,0.03756117619064153
315,0.006848487668423164
316,-0.04263711334237291
