,RANK,POINTS,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
1111,-107.0,381.0,-0.18900410499347364,0.0964626394919933,-0.044821766587935796,0.01752091606669115,0.012307655387433891,-0.01041517654912616,1.0,0.09868791846766672,0.06766917293233082,0.0275056327687907,0.01358100263465184,0.02982857145412504,0,Marius Copil,Casper Ruud
1112,-368.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,Mischa Zverev,Andreas Haider Maurer
1113,-48.0,630.0,-0.04945196743164815,-0.013820495343295658,-0.09026231438369736,-0.04919856710791881,0.11021195485185717,0.04409814455228611,-1.0,-0.4966709537105812,-0.05608651297623536,-0.0611772486772485,0.06515325096055391,0.06101338774393833,1,Philipp Kohlschreiber,Ivo Karlovic
1114,-86.0,392.0,0.018110438952341767,-0.07324009985083346,0.06336445689386866,-0.022482467551170005,0.028083695597464264,0.0,-1.0,0.013457949055775131,-0.19475955204216072,0.04722222222222222,0.009511206546147455,0.00560122804629426,1,Maximilian Marterer,Dustin Brown
1115,-1.0,4.0,0.17141416716888402,-0.04671840354767176,0.015238095238095273,0.028837327893931675,-0.006773366802832914,0.0,1.0,-0.01210977812177505,-0.04758449432404541,-0.023726273726273672,0.005135257205212157,0.02206396109109876,0,Guido Pella,Marton Fucsovics
1116,-40.0,949.0,-0.05429025423728817,0.05882352941176472,0.21892841458058854,0.10650600282485867,0.21960564074970856,0.0,1.0,0.050101010101010104,-0.0814141414141414,0.3829365079365079,0.15487270787159807,0.32611164357456723,0,Fabio Fognini,Marco Cecchinato
1117,-50.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Gael Monfils,Mirza Basic
1118,-50.0,294.0,-0.041601051961062785,0.08956679455554717,0.05055604045077733,0.07005256694928719,0.039243227813663406,-0.006972117110772835,1.0,0.08476970246933954,-0.06932164200993603,-0.014285714285714457,0.052956303328875465,0.1092957947629506,0,Florian Mayer,Martin Klizan
1119,-73.0,612.0,0.02897102897102899,-0.011867905056759498,-0.04957264957264951,-0.0209235209235209,0.024395363105040535,0.0,1.0,0.05860244480934135,0.04294836708629812,-0.0,0.00904055025918829,0.0034718421815196354,0,Yuichi Sugita,Yannick Maden
1120,-339.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,Jan Lennard Struff,Daniel Masur
1121,-38.0,234.0,-0.11378498156057304,0.12758125472411197,-0.050892460969980347,0.025777994245562152,0.03539934192428956,0.03938785634689834,1.0,0.03911646933425511,0.06342916678669855,-0.2154761904761905,0.03213409849958615,0.061177336169851715,0,Marcos Baghdatis,Yannick Hanfmann
1122,-179.0,1876.0,-0.024590163830004785,0.020894170220769115,0.00672564156116795,0.018726868952625875,0.11742449580715009,0.034338018902455025,-1.0,-0.050690354204033714,-0.021269807405643312,0.0092592592592593,0.07794740078126947,0.13615136475977596,1,Roberto Bautista Agut,Casper Ruud
1123,-20.0,343.0,-0.05131892681185313,0.06848636188640944,-0.009633184564004027,0.027688915362685806,-0.0045155670046664875,-0.006354714603492351,-1.0,-0.026386013114132717,-0.010701081126353595,-0.04541779933936796,0.003387989389401047,0.02317334835801932,1,Philipp Kohlschreiber,Mischa Zverev
1124,-57.0,1391.0,-0.03777320680840879,-0.015132434938216033,0.015777924601453996,-0.009426900623776713,0.14239301662768744,0.0,1.0,-0.1387319624819625,0.009440752058399116,-0.05238095238095242,0.08957575935273729,0.13296611600391073,0,Diego Sebastian Schwartzman,Maximilian Marterer
1125,-2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Marco Cecchinato,Marton Fucsovics
1126,-32.0,218.0,0.07692307692307698,0.09523809523809523,0.27777777777777773,0.1923076923076923,0.36346153846153845,0.0,1.0,0.33766233766233766,0.0974025974025974,0.0,0.3298816568047337,0.5557692307692307,0,Mirza Basic,Martin Klizan
1127,-141.0,1481.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,Hyeon Chung,Matthias Bachinger
1128,-57.0,397.0,-0.1671087533156499,0.07692307692307698,-0.031944444444444386,-0.009136457412319388,-0.014245014245014231,0.0,-1.0,0.05064935064935064,0.19870129870129868,0.42307692307692313,-0.011221359880363685,-0.02338147165733362,1,Jan Lennard Struff,Yannick Maden
1129,-115.0,4730.0,-0.013712308328611589,0.07391791712102436,0.04003249068139958,0.06028772868580956,0.06328011671569223,0.0551578187866808,-1.0,0.06708220132358064,0.038279681046922406,-0.08924242424242412,0.06498495573506807,0.12356784540150179,1,Alexander Zverev,Yannick Hanfmann
1130,-20.0,855.0,0.05573508176302977,-0.08741374541539304,0.057554431612149126,-0.02273240079255301,0.03852125214214813,0.01673244039877353,1.0,-0.06926842323064791,0.01985384273109078,-0.15163800705467356,0.013509331442572603,0.015788851349595123,0,Roberto Bautista Agut,Philipp Kohlschreiber
1131,-12.0,117.0,-0.20471698113207548,-0.07613636363636367,-0.24358974358974356,-0.179245283018868,0.06025947422328437,0.0,1.0,-0.07720588235294118,0.08639705882352941,-0.4047619047619048,-0.0177873187448869,-0.11898580879558363,0,Marton Fucsovics,Maximilian Marterer
1132,-100.0,1366.0,-0.006792755382603377,0.017402413599555966,-0.0892559523809523,-0.028145349218043902,0.0359162427478566,-0.018722402998793353,1.0,-0.05860208118335053,0.10580648926237163,0.008928571428571397,0.0051232672244919675,0.007770893529812695,1,Hyeon Chung,Martin Klizan
1133,-59.0,4340.0,0.12180557840494621,-0.0013865547894700292,0.03319205187122243,0.04360528409748643,0.04084412460066522,0.0072041126365319785,1.0,0.039230326238523516,-0.008416945518046642,0.05493223940914138,0.04367861398345266,0.08444940869815165,1,Alexander Zverev,Jan Lennard Struff
1134,-39.0,581.0,-0.03681982864955735,0.08709643220898444,0.003246314842953457,0.05943890738162805,0.05385859306772062,0.0,-1.0,-0.02649846032143688,0.011267595309501548,-0.01956258027686597,0.05605706420348719,0.11329750044934866,1,Philipp Kohlschreiber,Maximilian Marterer
1135,-19.0,3378.0,0.07690757465852038,0.07513078567188813,0.10459221116501694,0.10764590219995418,0.03397076637322782,0.015435722752154213,-1.0,0.25040591797822687,-0.03737499717079382,0.03024430926216637,0.06224568010742629,0.141616668573182,1,Alexander Zverev,Hyeon Chung
1136,-31.0,3875.0,0.022598650264525788,-0.04010043475087033,0.062342704808737937,0.0043112965848216556,0.014673411847641205,-0.0013399770768579566,1.0,0.07619370794920316,0.05425693336582152,0.15285650022492137,0.011537943521687272,0.01898470843246286,1,Alexander Zverev,Philipp Kohlschreiber
1137,-50.0,506.0,-0.04540626708978035,-0.037146676852559124,-0.1412698412698412,-0.09587374426930462,-0.002043541224532097,-0.05520810066264609,1.0,0.17897842522588975,-0.0910427807486631,0.11008771929824557,-0.03143850050317579,-0.09791728549383671,0,Stefanos Tsitsipas,Evgeny Donskoy
1138,-35.0,510.0,0.08665971211014745,0.05061753769744126,-0.024688113220054597,0.04233401790378266,0.05044692027009989,0.011606241999992939,-1.0,0.015309484709088633,0.026060386091863202,0.10022207367795599,0.04460886095732294,0.09278093817388255,1,Fernando Verdasco,Paolo Lorenzi
1139,-26.0,754.0,-0.06348964463922291,-0.03146479941736313,-0.015843280937989035,-0.050305927202282774,0.0032312400370199112,-0.009030405228460658,1.0,-0.09907272799356842,0.06554373881192768,0.009558080808080738,-0.015207194720015804,-0.04707468716526286,0,Fabio Fognini,Leonardo Mayer
1140,-32.0,1095.0,0.004245595430661386,-0.02885489511602457,-0.0022194394493796343,-0.013717879626284235,0.0024596383151334056,-0.02442486871045213,1.0,0.024788482486622243,0.03147687292883983,0.0006410256410257498,-0.0018857351504778241,-0.01125824131115083,0,Jack Sock,Pablo Cuevas
