,WRP
126,-0.01332445036642238
127,0.049323951125204046
128,-0.009673395610707458
129,-0.007396031947788706
130,0.002886358048519
131,-0.0485311432277028
132,
133,-0.0010138753286806357
134,
135,
136,
137,
138,-0.02245767291262113
139,0.11483104029595914
140,-0.018115181273907488
141,-0.010702579998217832
142,
143,0.10055330301318288
144,0.05312477275041089
145,-0.14667756459892742
146,-0.007437081968332038
147,0.055891223589212
148,0.16543729721982559
149,0.012198502599140959
150,0.036249014972419225
151,-0.01367751806399281
152,-0.05505821950257639
153,0.12247622148664278
154,
155,-0.017718012019344698
156,0.0029673230761436686
157,0.07456402671112683
158,
159,0.06622715341481322
160,0.12764461145288614
161,0.027590090090090058
162,0.03096804110672091
163,0.04913938023774095
164,-0.12672293272213264
165,0.04489436619718312
166,0.06865099516971973
167,-0.003087582842858705
168,-0.0008033851537788683
169,0.04530212648598442
170,0.08766233766233766
171,-0.003351292156541952
172,-0.020451700301203524
173,0.011059665831781529
174,0.04330654418811003
175,-0.015606258626114533
176,0.07870505093429592
177,0.16634904489661734
178,-0.10455203930027501
179,-0.006481044902409416
180,0.01537402913884195
181,0.07649762972463225
182,-0.052378036654068205
183,-0.024346535804998903
184,0.025570283391199877
185,0.03582865539825508
186,0.08136210413378397
187,-0.06101332136815363
188,0.01664162699519456
189,0.04451359660435711
190,-0.11262588265873102
191,0.03903850428433164
192,0.08717650796373294
193,-0.010752688172043001
194,
195,0.03119421513670434
196,-0.06914048713164878
197,0.03974647700916123
198,0.045587408012458
199,0.04278676045277052
200,-0.021954395026544893
201,
202,-0.02322084864684265
203,0.15291922154092247
204,0.005019191643084064
205,
206,0.02410109032603608
207,
208,-0.056185437137818095
209,
210,-0.13689776733254994
211,-0.011764397481835609
212,-0.10290556900726394
213,-0.06914154892556285
214,-0.04288164665523159
215,-0.025265871836364362
216,0.19995215168591368
217,-0.14559965487489213
218,0.05822533285701581
219,0.06968133156272538
220,
221,-0.07953459320246298
222,
223,
224,
225,
226,0.008393897173165521
227,
228,
229,
230,
231,
232,
233,
234,0.019136248649906207
235,
236,-0.02576016216746263
237,0.05859557828112716
238,-0.01525958703117919
239,-0.0016326004208963019
240,0.06383922128587077
241,0.0934152022519093
242,0.07433900582480374
243,-0.010617110117394413
244,-0.0016194331983805377
245,0.15538132573057728
246,-0.08573536894201211
247,-0.02030619906176806
248,0.126865962763892
249,0.07528249765462114
250,0.1103943667562628
251,-0.04127114425757411
252,
253,-0.049323951125204046
254,0.04989757096868597
255,
256,
257,
258,
259,
260,0.061807197455253315
261,-0.06403447963782727
262,
263,-0.04526386988090508
264,0.05841421438473776
265,0.0064009929267236365
266,0.04504109232901421
267,0.11483615535758201
268,0.029664252442076433
269,0.019424014021214686
270,-0.06092202619399656
271,0.010162034880645598
272,-0.03310962153835517
273,-0.07256859016080913
274,-0.038956808670577714
275,0.07479284060589458
276,
277,-0.022613386116228262
278,0.05052581108718074
279,
280,0.10790824374422853
281,-0.03189577717879605
282,-0.08045977011494254
283,0.030963765435884694
284,0.008804167301483978
285,-0.10569992035045794
286,
287,0.005062832272810069
288,
289,0.013939042282335445
290,0.010482264834343502
291,-0.04862320212734733
292,0.027433697018383885
293,-0.07805239856747975
294,0.009126977871657671
295,-0.045495247201352285
296,0.011294596416834335
297,0.11921304463244181
298,-0.05077723775716225
299,0.04670705491498922
300,-0.1686545302364511
301,0.025744342424151467
302,-0.033310931503223895
303,0.020024982866664376
304,-0.09278638562022151
305,0.0073960319477887615
306,
307,0.061282699812111596
308,
309,
310,0.18130081300813006
311,0.12885007542484717
312,0.0447705671265351
313,-0.004715343184536924
314,-0.06926694359372998
315,-0.13950337880912916
316,-0.042009768248992385
317,-0.005170009260733688
318,0.005156119555668859
319,0.0652713393191417
320,-0.012171840408484902
321,-0.00916325603369239
322,0.02576016216746263
323,-0.0486471665409442
324,0.0888647871964724
325,0.06046585875488397
326,-0.03586269666922931
327,0.0035252741999072246
328,0.08627063518117312
329,0.06147666726769052
330,0.040792710454048364
331,-0.0026176252932101907
332,-0.01379604905232601
333,0.03551867304994216
334,
335,0.053081967567804866
336,0.035222879915971395
337,0.09705998091345447
338,-0.04411272747742401
339,0.03367203292253723
340,0.06563282361189354
341,-0.019852089056541455
342,0.006973780321541778
343,0.026187901770779898
344,
345,0.007035947016671984
346,0.0849998846448749
347,-0.011067634684204686
348,-0.05466510374284356
349,0.05852854119522721
350,-0.035251522781639844
351,0.023252938481040597
352,0.016822891843461196
353,-0.0010185543889570936
354,0.06890625713619469
355,-0.012014912835702607
356,-0.006770521122761608
357,0.012756109861428333
358,0.08000379030270122
359,-0.025999780904065295
360,-0.07266754888093668
361,
362,0.0260925374359659
363,0.11919495754658938
364,-0.03479029224971675
365,0.00875167285410533
366,0.07995770272846753
367,0.0364878454149008
368,0.04480334475710607
369,-0.007899994742100014
370,
371,-0.045587408012458
372,0.038150364864704744
373,0.04805775779875199
374,-0.036006789955282614
375,
376,0.027630765999300533
