,tourney_id,tourney_name,round,winner_id,winner_name,loser_id,loser_name,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace,l_ace,w_df,l_df,w_svpt,w_1stWon,w_1stIn,l_svpt,l_1stWon,l_1stIn,w_2ndWon,l_2ndWon,w_ret_w,w_ret_tot,l_ret_w,l_ret_tot,WRP,WRP2
1937,2017-6242,Winston-Salem,QF,105526,Jan Lennard Struff,106432,Borna Coric,56.0,883.0,62.0,751.0,10.0,6.0,5.0,5.0,67.0,31.0,34.0,68.0,35.0,46.0,20.0,10.0,23,68,16,67,-0.004832321156719888,-0.004832321156719888
1938,2017-6242,Winston-Salem,QF,106378,Kyle Edmund,105449,Steve Johnson,45.0,1007.0,46.0,1000.0,5.0,14.0,2.0,9.0,86.0,41.0,59.0,88.0,36.0,41.0,20.0,21.0,31,88,25,86,0.059135941409412196,0.059135941409412196
1939,2017-6242,Winston-Salem,QF,106000,Damir Dzumhur,111202,Hyeon Chung,67.0,725.0,49.0,955.0,3.0,2.0,0.0,3.0,50.0,26.0,36.0,58.0,17.0,27.0,9.0,15.0,26,58,15,50,-0.0020118405038166975,-0.0020118405038166975
1940,2017-6242,Winston-Salem,R16,105138,Roberto Bautista Agut,104571,Marcos Baghdatis,15.0,2425.0,82.0,645.0,0.0,5.0,3.0,2.0,60.0,29.0,39.0,58.0,21.0,28.0,14.0,14.0,23,58,17,60,0.05701005239823448,0.05701005239823448
1941,2017-6242,Winston-Salem,R16,126203,Taylor Harry Fritz,103893,Paolo Lorenzi,116.0,484.0,40.0,1100.0,9.0,4.0,4.0,7.0,89.0,32.0,45.0,74.0,25.0,34.0,22.0,22.0,27,74,35,89,-0.08805840940354254,-0.08805840940354254
1942,2017-6242,Winston-Salem,R16,106432,Borna Coric,104545,John Isner,62.0,751.0,14.0,2425.0,2.0,5.0,1.0,2.0,53.0,26.0,33.0,58.0,27.0,38.0,15.0,8.0,23,58,12,53,0.0761275377508897,0.0761275377508897
1943,2017-6242,Winston-Salem,R16,105526,Jan Lennard Struff,104312,Andreas Seppi,56.0,883.0,86.0,626.0,18.0,8.0,12.0,5.0,130.0,44.0,65.0,110.0,39.0,62.0,29.0,22.0,49,110,57,130,0.00989161701313096,0.00989161701313096
1944,2017-6242,Winston-Salem,R16,105449,Steve Johnson,104122,Carlos Berlocq,46.0,1000.0,96.0,561.0,9.0,2.0,1.0,2.0,59.0,29.0,35.0,62.0,30.0,38.0,19.0,14.0,18,62,11,59,-0.012629042285364211,-0.012629042285364211
1945,2017-6242,Winston-Salem,R16,106378,Kyle Edmund,105916,Marton Fucsovics,45.0,1007.0,122.0,458.0,4.0,6.0,2.0,2.0,57.0,25.0,32.0,42.0,16.0,25.0,14.0,4.0,22,42,18,57,-0.10196376262976342,-0.10196376262976342
1946,2017-6242,Winston-Salem,R16,106000,Damir Dzumhur,104547,Horacio Zeballos,67.0,725.0,58.0,821.0,7.0,2.0,4.0,4.0,63.0,33.0,42.0,64.0,26.0,41.0,7.0,9.0,29,64,23,63,0.11641873462301744,0.11641873462301744
