,RANK,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
2169,-26.0,-0.3391304347826086,-0.07189542483660127,-0.2962962962962963,-0.24975845410628017,0.08933651238807866,-0.25274725274725274,-1.0,0.13333333333333333,-0.0,-0.33333333333333337,-0.03243069270867999,-0.03243069270867999,0,Andrey Rublev,Yen Hsun Lu
2170,-47.0,-0.10053313023610055,-0.04166666666666663,-0.21224489795918366,-0.14369129220614352,-0.006676168571428276,-0.1061452513966481,-1.0,0.20689655172413793,0.1724137931034483,-0.0,-0.059891627353396926,-0.059891627353396926,0,Peter Gojowczyk,Marcos Baghdatis
2171,-12.0,-0.12120060790273557,-0.20454545454545447,-0.018260869565217386,-0.15767477203647406,0.06237103397544441,-0.08000000000000007,-1.0,0.13043478260869565,-0.13043478260869565,-0.0,-0.014386582314094704,-0.014386582314094704,0,Kyle Edmund,Jared Donaldson
2172,-46.0,-0.2615094339622641,-0.010835913312693513,-0.1392190152801358,-0.1758490566037736,0.029690484425792474,-0.18446601941747565,-1.0,-0.29411764705882354,0.29411764705882354,-0.5,-0.03746724200700044,-0.03746724200700044,0,Karen Khachanov,Denis Istomin
2173,-83.0,-0.07047872340425532,0.1525600835945663,0.3222222222222222,0.203014184397163,-0.019883062237125267,0.19999999999999996,1.0,-0.058823529411764705,0.058823529411764705,0.6666666666666667,0.0723015682356343,0.0723015682356343,1,Yuichi Sugita,Thiago Monteiro
2174,-59.0,-0.14538461538461545,-0.10256410256410264,-0.35885167464114837,-0.2023076923076924,0.04475670374129065,-0.196078431372549,-1.0,-0.17647058823529413,-0.0,0.0,-0.04318473761359756,-0.04318473761359756,0,Albert Ramos,Dusan Lajovic
2175,-17.0,-0.025917065390749672,-0.037510656436487655,-0.22999999999999998,-0.10167464114832536,-0.019413934070315608,-0.07042253521126751,-1.0,0.13043478260869565,0.043478260869565216,-0.25,-0.05039737931409502,-0.05039737931409502,0,Borna Coric,Guido Pella
2176,-126.0,0.026254569624459934,0.17456896551724133,0.101010101010101,0.14921900963775325,0.0,0.1272727272727272,1.0,0.10526315789473684,0.0,0.4444444444444444,0.0,0.0,1,Taylor Harry Fritz,Di Wu
2177,-11.0,-0.08045977011494254,-0.00588235294117645,-0.04444444444444445,-0.037931034482758585,0.0314719124780351,-0.039548022598870025,-1.0,-0.0,0.08,0.11111111111111105,0.005017555096559129,0.005017555096559129,0,Viktor Troicki,Nikoloz Basilashvili
2178,-265.0,-0.028735632183907955,0.22734499205087444,0.08683473389355739,0.16970926301555112,0.0,0.17431192660550465,1.0,0.35294117647058826,0.058823529411764705,0.2222222222222222,0.0,0.0,1,Yen Hsun Lu,Mikael Ymer
2179,-28.0,-0.15929203539823006,-0.10997442455242967,0.1326979472140763,-0.04424778761061954,-0.018960855360940054,-0.04424778761061954,-1.0,0.08333333333333333,-0.05555555555555555,-0.35,-0.031035185002003862,-0.031035185002003862,0,Vasek Pospisil,Marcos Baghdatis
2180,-12.0,0.1862527716186253,-0.3666666666666667,-0.025454545454545452,-0.19689578713968958,0.01016260162601623,-0.22916666666666674,-1.0,-0.4375,-0.0625,-1.0,-0.07683467632902494,-0.07683467632902494,0,Leonardo Mayer,Peter Gojowczyk
2181,-100.0,-0.17923076923076925,0.22303030303030302,0.12200435729847492,0.1299999999999999,0.07198969748704986,0.13725490196078427,1.0,0.2222222222222222,0.05555555555555555,0.6,0.0880902939642475,0.0880902939642475,1,Kyle Edmund,Bernard Tomic
2182,-59.0,0.0958595859585959,-0.0953846153846154,-0.010457516339869355,-0.0326732673267327,0.014633283368342518,-0.014218009478673022,1.0,-0.08108108108108109,-0.10810810810810811,0.33333333333333337,-0.00119284921619367,-0.00119284921619367,1,Jared Donaldson,Stefanos Tsitsipas
2183,-31.0,-0.19274977895667555,-0.07641025641025634,-0.05654761904761901,-0.12024756852343055,0.06579931078668755,-0.10303030303030303,-1.0,-0.2727272727272727,0.13636363636363635,-0.07692307692307687,0.00491818282163653,0.00491818282163653,0,Jan Lennard Struff,Denis Istomin
2184,0.0,-0.0030959752321981227,-0.1527777777777778,-0.6777777777777778,-0.4303405572755419,0.0,-0.4444444444444444,-1.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0,Mate Pavic,Yuichi Sugita
2185,-195.0,0.14368427271653084,-0.022580645161290325,0.05132317562149158,0.024695734373153755,0.0,0.021739130434782705,1.0,0.03571428571428571,0.17857142857142858,0.17142857142857137,0.0,0.0,1,Thiago Monteiro,Yibing Wu
2186,-49.0,0.0951760104302477,0.12352941176470589,0.23333333333333334,0.17966101694915249,0.0,0.16129032258064524,1.0,0.3181818181818182,-0.13636363636363635,-0.5,0.0,0.0,1,Dusan Lajovic,Adrian Menendez Maceiras
2187,-41.0,0.0898876404494382,0.07890499194847023,0.018604651162790642,0.0674157303370786,0.04482556211756472,0.0674157303370786,1.0,0.15625,-0.09375,-0.05555555555555558,0.054047297908186825,0.054047297908186825,1,David Goffin,Alexandr Dolgopolov
2188,-13.0,0.21592442645074228,-0.1880398671096345,0.033333333333333326,-0.04318488529014841,0.05606272161420206,-0.06557377049180335,-1.0,-0.3684210526315789,-0.15789473684210525,-0.5,0.022372655724125,0.022372655724125,0,Damir Dzumhur,Alexandr Dolgopolov
2189,-95.0,0.07402609419820494,0.02590420332355814,-0.006349206349206327,0.03284907930045344,0.013213538637448452,0.019230769230769162,1.0,-0.17647058823529413,0.029411764705882353,0.3333333333333333,0.02262110045027499,0.02262110045027499,1,David Goffin,Henri Laaksonen
2190,-36.0,0.08529411764705885,0.0071428571428571175,-0.17045454545454541,-0.04705882352941171,-0.0034318630058945976,-0.0625,-1.0,0.13636363636363635,0.18181818181818182,-0.28571428571428575,-0.020420376740362928,-0.020420376740362928,0,Alexander Zverev,Damir Dzumhur
2191,-24.0,-0.06324110671936767,0.1428571428571429,0.15555555555555556,0.13306982872200268,0.025572171213192496,0.09677419354838701,1.0,0.4,-0.3,-0.3333333333333333,0.06391083199927128,0.06391083199927128,1,Alexandr Dolgopolov,Dudi Sela
2192,-388.0,0.06710526315789478,0.06415094339622651,0.0021645021645021467,0.05992822966507183,0.0,0.049180327868852514,1.0,0.3333333333333333,0.14814814814814814,0.13333333333333341,0.0,0.0,1,Henri Laaksonen,Zhizhen Zhang
2193,-49.0,0.04215116279069764,0.1581196581196581,0.2668067226890756,0.21329941860465118,0.09256150938665404,0.17757009345794383,1.0,0.17647058823529413,-0.4117647058823529,0.0,0.12478374743597123,0.12478374743597123,1,David Goffin,Donald Young
2194,-72.0,-0.06853582554517135,0.06490384615384615,-0.08050089445438291,0.0038341720584710304,0.1218826389163098,-0.008928571428571397,1.0,0.25,0.1111111111111111,-0.0714285714285714,0.07968844628105812,0.07968844628105812,1,Alexander Zverev,Steve Darcis
2195,-78.0,-0.01558441558441559,0.11005434782608692,0.10378681626928477,0.10649350649350653,0.031726426880991365,0.06060606060606055,1.0,0.0,0.15789473684210525,0.0,0.061494305432063634,0.061494305432063634,1,Damir Dzumhur,Lukas Lacko
2196,-51.0,-0.06907993966817494,-0.11180124223602483,-0.023706896551724088,-0.08944193061840111,-0.04188391123933472,-0.10429447852760743,-1.0,0.06896551724137931,0.034482758620689655,0.25,-0.05510190130249748,-0.05510190130249748,0,Mischa Zverev,Dudi Sela
2197,-45.0,-0.10512820512820509,0.030012004801920678,0.2291434927697441,0.09487179487179487,0.032997829262326916,0.06293706293706292,1.0,-0.08695652173913043,-0.043478260869565216,-0.75,0.05047421419640871,0.05047421419640871,1,Alexandr Dolgopolov,Sergiy Stakhovsky
2198,-24.0,-0.19174570622917197,-0.025606469002695476,-0.10512820512820509,-0.11650858754165594,-0.15080459770114946,-0.09604519774011289,-1.0,-0.06896551724137931,-0.034482758620689655,0.09999999999999998,-0.13697743284215372,-0.13697743284215372,0,Marius Copil,Henri Laaksonen
2199,-456.0,0.15045045045045036,-0.05724694249284412,0.04148148148148145,0.027027027027027084,0.0,-0.004975124378109541,-1.0,-0.15625,-0.03125,-0.2142857142857143,0.0,0.0,0,Paolo Lorenzi,Zhizhen Zhang
